30 30
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0000 0.0000 2.0000
0.0689 0.0000 1.9976
0.0687 0.0047 1.9976
0.0682 0.0098 1.9976
0.0672 0.0151 1.9976
0.0657 0.0207 1.9976
0.0636 0.0265 1.9976
0.0608 0.0324 1.9976
0.0572 0.0384 1.9976
0.0528 0.0442 1.9976
0.0475 0.0499 1.9976
0.0413 0.0551 1.9976
0.0343 0.0597 1.9976
0.0265 0.0636 1.9976
0.0180 0.0665 1.9976
0.0091 0.0683 1.9976
0.0000 0.0689 1.9976
-0.0091 0.0683 1.9976
-0.0180 0.0665 1.9976
-0.0265 0.0636 1.9976
-0.0343 0.0597 1.9976
-0.0413 0.0551 1.9976
-0.0475 0.0499 1.9976
-0.0528 0.0442 1.9976
-0.0572 0.0384 1.9976
-0.0608 0.0324 1.9976
-0.0636 0.0265 1.9976
-0.0657 0.0207 1.9976
-0.0672 0.0151 1.9976
-0.0682 0.0098 1.9976
-0.0687 0.0047 1.9976
0.1421 0.0000 1.9898
0.1418 0.0098 1.9898
0.1407 0.0202 1.9898
0.1387 0.0312 1.9898
0.1356 0.0427 1.9898
0.1312 0.0547 1.9898
0.1254 0.0669 1.9898
0.1180 0.0792 1.9898
0.1089 0.0913 1.9898
0.0980 0.1029 1.9898
0.0853 0.1137 1.9898
0.0708 0.1233 1.9898
0.0547 0.1312 1.9898
0.0372 0.1372 1.9898
0.0189 0.1409 1.9898
0.0000 0.1421 1.9898
-0.0189 0.1409 1.9898
-0.0372 0.1372 1.9898
-0.0547 0.1312 1.9898
-0.0708 0.1233 1.9898
-0.0853 0.1137 1.9898
-0.0980 0.1029 1.9898
-0.1089 0.0913 1.9898
-0.1180 0.0792 1.9898
-0.1254 0.0669 1.9898
-0.1312 0.0547 1.9898
-0.1356 0.0427 1.9898
-0.1387 0.0312 1.9898
-0.1407 0.0202 1.9898
-0.1418 0.0098 1.9898
0.2195 0.0000 1.9756
0.2190 0.0151 1.9756
0.2173 0.0312 1.9756
0.2142 0.0482 1.9756
0.2094 0.0660 1.9756
0.2026 0.0844 1.9756
0.1937 0.1033 1.9756
0.1823 0.1223 1.9756
0.1682 0.1410 1.9756
0.1514 0.1590 1.9756
0.1317 0.1756 1.9756
0.1093 0.1904 1.9756
0.0844 0.2026 1.9756
0.0575 0.2118 1.9756
0.0291 0.2176 1.9756
0.0000 0.2195 1.9756
-0.0291 0.2176 1.9756
-0.0575 0.2118 1.9756
-0.0844 0.2026 1.9756
-0.1093 0.1904 1.9756
-0.1317 0.1756 1.9756
-0.1514 0.1590 1.9756
-0.1682 0.1410 1.9756
-0.1823 0.1223 1.9756
-0.1937 0.1033 1.9756
-0.2026 0.0844 1.9756
-0.2094 0.0660 1.9756
-0.2142 0.0482 1.9756
-0.2173 0.0312 1.9756
-0.2190 0.0151 1.9756
0.3006 0.0000 1.9538
0.2999 0.0207 1.9538
0.2975 0.0427 1.9538
0.2932 0.0660 1.9538
0.2867 0.0903 1.9538
0.2775 0.1156 1.9538
0.2652 0.1414 1.9538
0.2496 0.1674 1.9538
0.2304 0.1931 1.9538
0.2073 0.2177 1.9538
0.1803 0.2405 1.9538
0.1497 0.2607 1.9538
0.1156 0.2775 1.9538
0.0788 0.2901 1.9538
0.0399 0.2979 1.9538
0.0000 0.3006 1.9538
-0.0399 0.2979 1.9538
-0.0788 0.2901 1.9538
-0.1156 0.2775 1.9538
-0.1497 0.2607 1.9538
-0.1803 0.2405 1.9538
-0.2073 0.2177 1.9538
-0.2304 0.1931 1.9538
-0.2496 0.1674 1.9538
-0.2652 0.1414 1.9538
-0.2775 0.1156 1.9538
-0.2867 0.0903 1.9538
-0.2932 0.0660 1.9538
-0.2975 0.0427 1.9538
-0.2999 0.0207 1.9538
0.3846 0.0000 1.9231
0.3837 0.0265 1.9231
0.3807 0.0547 1.9231
0.3752 0.0844 1.9231
0.3668 0.1156 1.9231
0.3550 0.1479 1.9231
0.3394 0.1810 1.9231
0.3194 0.2143 1.9231
0.2948 0.2471 1.9231
0.2653 0.2785 1.9231
0.2308 0.3077 1.9231
0.1915 0.3335 1.9231
0.1479 0.3550 1.9231
0.1008 0.3712 1.9231
0.0511 0.3812 1.9231
0.0000 0.3846 1.9231
-0.0511 0.3812 1.9231
-0.1008 0.3712 1.9231
-0.1479 0.3550 1.9231
-0.1915 0.3335 1.9231
-0.2308 0.3077 1.9231
-0.2653 0.2785 1.9231
-0.2948 0.2471 1.9231
-0.3194 0.2143 1.9231
-0.3394 0.1810 1.9231
-0.3550 0.1479 1.9231
-0.3668 0.1156 1.9231
-0.3752 0.0844 1.9231
-0.3807 0.0547 1.9231
-0.3837 0.0265 1.9231
0.4706 0.0000 1.8824
0.4695 0.0324 1.8824
0.4658 0.0669 1.8824
0.4591 0.1033 1.8824
0.4488 0.1414 1.8824
0.4344 0.1810 1.8824
0.4152 0.2215 1.8824
0.3908 0.2622 1.8824
0.3607 0.3023 1.8824
0.3245 0.3408 1.8824
0.2824 0.3765 1.8824
0.2343 0.4081 1.8824
0.1810 0.4344 1.8824
0.1233 0.4541 1.8824
0.0625 0.4664 1.8824
0.0000 0.4706 1.8824
-0.0625 0.4664 1.8824
-0.1233 0.4541 1.8824
-0.1810 0.4344 1.8824
-0.2343 0.4081 1.8824
-0.2824 0.3765 1.8824
-0.3245 0.3408 1.8824
