20 20
0.0000 1.2513 0.8920
0.3873 1.2513 0.8893
0.7514 1.2513 0.8812
1.0960 1.2513 0.8673
1.4246 1.2513 0.8473
1.7407 1.2513 0.8210
2.0480 1.2513 0.7882
2.3499 1.2513 0.7486
2.6560 1.2513 0.7060
3.1120 1.2513 0.7605
4.0000 1.2513 1.1080
4.2710 1.3563 1.0697
4.4880 1.6412 0.9812
4.6570 2.0610 0.8554
4.7840 2.5708 0.7050
4.8750 3.1256 0.5427
4.9360 3.6805 0.3813
4.9730 4.1903 0.2336
4.9920 4.6101 0.1123
4.9990 4.8950 0.0302
0.0000 1.3757 0.9303
0.3873 1.3757 0.9311
0.7514 1.3757 0.9305
1.0960 1.3757 0.9245
1.4246 1.3757 0.9095
1.7407 1.3757 0.8816
2.0480 1.3757 0.8370
2.3499 1.3757 0.7720
2.6560 1.3757 0.6878
3.1120 1.3757 0.7064
4.0000 1.3757 1.0697
4.2710 1.4772 1.1040
4.4880 1.7527 1.0600
4.6570 2.1586 0.9553
4.7840 2.6515 0.8075
4.8750 3.1879 0.6341
4.9360 3.7243 0.4527
4.9730 4.2172 0.2811
4.9920 4.6231 0.1366
4.9990 4.8985 0.0371
0.0000 1.5013 0.9625
0.3873 1.5013 0.9691
0.7514 1.5013 0.9792
1.0960 1.5013 0.9849
1.4246 1.5013 0.9781
1.7407 1.5013 0.9508
2.0480 1.5013 0.8949
2.3499 1.5013 0.8025
2.6560 1.5013 0.6718
3.1120 1.5013 0.6510
4.0000 1.5013 1.0375
4.2710 1.5993 1.1453
4.4880 1.8652 1.1459
4.6570 2.2570 1.0619
4.7840 2.7328 0.9157
4.8750 3.2506 0.7300
4.9360 3.7685 0.5275
4.9730 4.2443 0.3306
4.9920 4.6361 0.1620
4.9990 4.9020 0.0443
0.0000 1.6285 0.9940
0.3873 1.6285 1.0091
0.7514 1.6285 1.0325
1.0960 1.6285 1.0517
1.4246 1.6285 1.0544
1.7407 1.6285 1.0279
2.0480 1.6285 0.9601
2.3499 1.6285 0.8384
2.6560 1.6285 0.6582
3.1120 1.6285 0.5954
4.0000 1.6285 1.0060
4.2710 1.7229 1.1834
4.4880 1.9792 1.2262
4.6570 2.3568 1.1617
4.7840 2.8153 1.0173
4.8750 3.3143 0.8202
4.9360 3.8132 0.5977
4.9730 4.2718 0.3772
4.9920 4.6494 0.1858
4.9990 4.9056 0.0510
0.0000 1.7579 1.0300
0.3873 1.7579 1.0573
0.7514 1.7579 1.0955
1.0960 1.7579 1.1284
1.4246 1.7579 1.1394
1.7407 1.7579 1.1122
2.0480 1.7579 1.0306
2.3499 1.7579 0.8780
2.6560 1.7579 0.6473
3.1120 1.7579 0.5407
4.0000 1.7579 0.9700
4.2710 1.8487 1.2079
4.4880 2.0951 1.2880
4.6570 2.4582 1.2416
4.7840 2.8991 1.0998
4.8750 3.3790 0.8941
4.9360 3.8588 0.6556
4.9730 4.2997 0.4157
4.9920 4.6628 0.2056
4.9990 4.9092 0.0566
0.0000 1.8900 1.0760
0.3873 1.8900 1.1196
0.7514 1.8900 1.1733
1.0960 1.8900 1.2181
