30 30
-3.0000 0.0000 3.7000
-3.1007 0.6680 4.3673
-3.2493 1.2799 4.9764
-3.3485 1.6150 5.3069
-3.4078 1.7872 5.4732
-3.4444 1.8808 5.5591
-3.4687 1.9360 5.6045
-3.4862 1.9723 5.6275
-3.4999 1.9998 5.6362
-3.5124 2.0250 5.6341
-3.5254 2.0519 5.6221
-3.5406 2.0843 5.5984
-3.5596 2.1270 5.5585
-3.5849 2.1867 5.4942
-3.6196 2.2735 5.3918
-3.6667 2.4000 5.2333
-3.7252 2.5735 5.0055
-3.7905 2.7969 4.7082
-3.8520 3.0614 4.3657
-3.8936 3.3415 4.0346
-3.9006 3.6023 3.7877
-3.8669 3.8208 3.6776
-3.7966 4.0002 3.7150
-3.6972 4.1679 3.8792
-3.5840 4.3467 4.1107
-3.4815 4.5432 4.3173
-3.4145 4.7635 4.4054
-3.4080 5.0133 4.2813
-3.4868 5.2988 3.8515
-3.6759 5.6257 3.0223
-2.4621 0.0000 3.1083
-2.7193 0.5421 3.5717
-2.9742 1.0850 4.1907
-3.1444 1.4528 4.6685
-3.2447 1.6753 4.9822
-3.3023 1.8098 5.1800
-3.3350 1.8951 5.3025
-3.3529 1.9538 5.3744
-3.3610 1.9997 5.4081
-3.3621 2.0418 5.4116
-3.3581 2.0862 5.3893
-3.3495 2.1381 5.3399
-3.3364 2.2034 5.2574
-3.3188 2.2899 5.1311
-3.2972 2.4065 4.9468
-3.2747 2.5608 4.6926
-3.2577 2.7508 4.3748
-3.2497 2.9690 4.0163
-3.2513 3.2020 3.6575
-3.2603 3.4320 3.3504
-3.2712 3.6437 3.1417
-3.2770 3.8312 3.0582
-3.2707 4.0006 3.1033
-3.2463 4.1679 3.2660
-3.2039 4.3467 3.5017
-3.1497 4.5432 3.7351
-3.0901 4.7635 3.8895
-3.0316 5.0133 3.8883
-2.9805 5.2988 3.6548
-2.9432 5.6257 3.1123
-2.0282 0.0000 2.6316
-2.3476 0.4560 2.9062
-2.6306 0.9113 3.3818
-2.8323 1.2719 3.8622
-2.9595 1.5292 4.2588
-3.0335 1.7070 4.5561
-3.0726 1.8317 4.7649
-3.0886 1.9241 4.8988
-3.0882 1.9995 4.9658
-3.0751 2.0693 4.9754
-3.0513 2.1411 4.9370
-3.0176 2.2212 4.8518
-2.9745 2.3156 4.7163
-2.9232 2.4301 4.5245
-2.8669 2.5699 4.2719
-2.8137 2.7352 3.9644
-2.7755 2.9183 3.6269
-2.7575 3.1105 3.2899
-2.7596 3.3039 2.9858
-2.7781 3.4914 2.7456
-2.8067 3.6691 2.5929
-2.8375 3.8374 2.5409
-2.8625 4.0009 2.5942
-2.8743 4.1679 2.7515
-2.8662 4.3467 2.9824
-2.8325 4.5432 3.2279
-2.7672 4.7635 3.4281
-2.6644 5.0133 3.5229
-2.5182 5.2988 3.4523
-2.3228 5.6257 3.1562
-1.6718 0.0000 2.2420
